Type,Species,DBH
Seedling,Striped maple,0.1
Seedling,Red maple,0.2
Seedling,Red pine,0.2
Seedling,Red pine,0.2
Seedling,Choke cherry,0.3
Seedling,Red pine,0.3
Seedling,Red pine,0.3
Seedling,Red pine,0.3
Seedling,Red pine,0.3
Seedling,Red pine,0.3
Seedling,Red pine,0.3
Seedling,Red pine,0.3
Seedling,Sugar maple,0.4
Seedling,White ash,0.5
Seedling,Choke cherry,0.5
Seedling,Red maple,0.5
Seedling,Sugar maple,0.5
Seedling,Sugar maple,0.5
Seedling,Sugar maple,0.5
Seedling,Sugar maple,0.5
Seedling,American beech,0.5
Seedling,American beech,0.5
Seedling,American beech,0.5
Seedling,American beech,0.5
Seedling,Red pine,0.5
Seedling,White ash,0.6
Seedling,Choke cherry,0.7
Seedling,Choke cherry,0.7
Seedling,Sugar maple,0.7
Seedling,Sugar maple,0.7
Seedling,Choke cherry,0.7
Seedling,Sugar maple,0.7
Seedling,Choke cherry,0.7
Seedling,Red pine,0.7
Seedling,Choke cherry,0.8
Seedling,Basswood,0.8
Seedling,Choke cherry,0.8
Seedling,White ash,0.8
Seedling,White ash,0.8
Seedling,Choke cherry,0.8
Seedling,Sugar maple,0.8
Seedling,Sugar maple,0.8
Seedling,Sugar maple,0.8
Seedling,Sugar maple,0.8
Seedling,Sugar maple,0.8
Seedling,Choke cherry,0.8
Seedling,Choke cherry,0.8
Seedling,Big tooth aspen,0.8
Seedling,American beech,0.8
Seedling,Choke cherry,0.9
Seedling,Choke cherry,0.9
Seedling,White ash,0.9
Seedling,Sugar maple,0.9
Seedling,Sugar maple,0.9
Seedling,Sugar maple,0.9
Seedling,Red oak,0.9
Seedling,American beech,0.9
Seedling,American beech,1
Seedling,Choke cherry,1
Seedling,Choke cherry,1
Seedling,White ash,1
Seedling,American beech,1
Seedling,White pine,1
Seedling,White pine,1
Seedling,Black cherry,1.1
Seedling,American beech,1.1
Seedling,Red pine,1.1
Seedling,Black cherry,1.2
Seedling,Black cherry,1.3
Seedling,Black cherry,1.3
Seedling,American beech,1.3
Seedling,American beech,1.4
Seedling,American beech,1.5
Seedling,American beech,1.5
Seedling,American beech,1.5
Seedling,American beech,1.5
Seedling,Red pine,1.5
Seedling,Choke cherry,1.6
Seedling,American beech,1.8
Seedling,Black cherry,2
Seedling,American beech,2
Seedling,American beech,2
Seedling,American beech,2
Seedling,White oak,2
Seedling,American beech,2
Seedling,American beech,2
Seedling,Red maple,2.1
Seedling,American beech,2.2
Seedling,Choke cherry,2.3
Seedling,American beech,2.3
